District ID,District Name,School Year,Percentage of Kindergarteners with PreK Experience
53,Franklin School District,2009-10,94.1
54,Glastonbury School District,2009-10,92.1
56,Granby School District,2009-10,90.1
57,Greenwich School District,2009-10,96.3
58,Griswold School District,2009-10,88.7
59,Groton School District,2009-10,59.4
60,Guilford School District,2009-10,89.9
62,Hamden School District,2009-10,79.5
63,Hampton School District,2009-10,88.2
64,Hartford School District,2009-10,58.4
65,Hartland School District,2009-10,96.7
67,Hebron School District,2009-10,92.5
286,Highville Charter School District,2009-10,100
264,Integrated Day Charter School District,2009-10,90.9
261,Jumoke Academy District,2009-10,89.4
68,Kent School District,2009-10,100
69,Killingly School District,2009-10,64.6
245,Learn,2009-10,93.5
71,Lebanon School District,2009-10,89.9
72,Ledyard School District,2009-10,80.6
73,Lisbon School District,2009-10,82.9
74,Litchfield School District,2009-10,84.4
76,Madison School District,2009-10,95.2
77,Manchester School District,2009-10,72.4
78,Mansfield School District,2009-10,81.7
79,Marlborough School District,2009-10,82.7
80,Meriden School District,2009-10,76.7
83,Middletown School District,2009-10,85.2
84,Milford School District,2009-10,82.8
85,Monroe School District,2009-10,92.7
86,Montville School District,2009-10,71.2
88,Naugatuck School District,2009-10,77.4
280,"New Beginnings Inc., Family Academy District",2009-10,76.2
89,New Britain School District,2009-10,80.3
90,New Canaan School District,2009-10,96.5
91,New Fairfield School District,2009-10,94.1
92,New Hartford School District,2009-10,90.5
93,New Haven School District,2009-10,73.9
95,New London School District,2009-10,71.6
96,New Milford School District,2009-10,79.5
94,Newington School District,2009-10,85.6
97,Newtown School District,2009-10,96.9
98,Norfolk School District,2009-10,100
99,North Branford School District,2009-10,88
100,North Canaan School District,2009-10,74.4
101,North Haven School District,2009-10,90.1
102,North Stonington School District,2009-10,87.9
103,Norwalk School District,2009-10,85.1
104,Norwich School District,2009-10,73.9
106,Old Saybrook School District,2009-10,92.4
107,Orange School District,2009-10,92.6
108,Oxford School District,2009-10,94.4
109,Plainfield School District,2009-10,63.9
110,Plainville School District,2009-10,85.1
111,Plymouth School District,2009-10,88.6
112,Pomfret School District,2009-10,88.6
113,Portland School District,2009-10,97.2
114,Preston School District,2009-10,31.4
116,Putnam School District,2009-10,71.3
117,Redding School District,2009-10,95.6
206,Regional School District 06,2009-10,87.9
210,Regional School District 10,2009-10,85.6
212,Regional School District 12,2009-10,95.8
213,Regional School District 13,2009-10,93.2
214,Regional School District 14,2009-10,87
215,Regional School District 15,2009-10,94.1
216,Regional School District 16,2009-10,92
217,Regional School District 17,2009-10,90.3
218,Regional School District 18,2009-10,80.5
118,Ridgefield School District,2009-10,92.2
119,Rocky Hill School District,2009-10,89.1
121,Salem School District,2009-10,83.3
122,Salisbury School District,2009-10,86.8
123,Scotland School District,2009-10,94.1
124,Seymour School District,2009-10,82.4
125,Sharon School District,2009-10,69.2
126,Shelton School District,2009-10,91.3
127,Sherman School District,2009-10,84.2
270,Side By Side Community School District,2009-10,77.3
128,Simsbury School District,2009-10,93.7
129,Somers School District,2009-10,88.2
132,South Windsor School District,2009-10,70.2
131,Southington School District,2009-10,77.9
133,Sprague School District,2009-10,72.7
134,Stafford School District,2009-10,90.1
135,Stamford School District,2009-10,79.3
136,Sterling School District,2009-10,79.5
137,Stonington School District,2009-10,77.8
138,Stratford School District,2009-10,68.1
139,Suffield School District,2009-10,88
140,Thomaston School District,2009-10,87.9
141,Thompson School District,2009-10,50.5
142,Tolland School District,2009-10,60.7
143,Torrington School District,2009-10,75
144,Trumbull School District,2009-10,93.7
145,Union School District,2009-10,100
146,Vernon School District,2009-10,78.3
147,Voluntown School District,2009-10,100
148,Wallingford School District,2009-10,90.5
151,Waterbury School District,2009-10,65.6
152,Waterford School District,2009-10,85.3
153,Watertown School District,2009-10,82.8
155,West Hartford School District,2009-10,89.7
156,West Haven School District,2009-10,62.6
154,Westbrook School District,2009-10,72.1
157,Weston School District,2009-10,100
158,Westport School District,2009-10,98.4
159,Wethersfield School District,2009-10,84.6
160,Willington School District,2009-10,74.5
161,Wilton School District,2009-10,99.6
162,Winchester School District,2009-10,94
163,Windham School District,2009-10,77.8
165,Windsor Locks School District,2009-10,59.5
164,Windsor School District,2009-10,82.7
166,Wolcott School District,2009-10,81.9
167,Woodbridge School District,2009-10,83.2
169,Woodstock School District,2009-10,88.6
288,Achievement First Hartford Academy Inc.,2008-09,87.5
279,Amistad Academy District,2008-09,90.7
1,Andover School District,2008-09,76.2
2,Ansonia School District,2008-09,64.3
244,Area Cooperative Educational Services,2008-09,88.3
3,Ashford School District,2008-09,91.7
4,Avon School District,2008-09,84.7
5,Barkhamsted School District,2008-09,91.2
7,Berlin School District,2008-09,94.4
8,Bethany School District,2008-09,90.1
9,Bethel School District,2008-09,75.6
11,Bloomfield School District,2008-09,88.5
12,Bolton School District,2008-09,58.3
13,Bozrah School District,2008-09,68.2
14,Branford School District,2008-09,89.9
15,Bridgeport School District,2008-09,66.9
17,Bristol School District,2008-09,86.4
18,Brookfield School District,2008-09,81.2
19,Brooklyn School District,2008-09,96.3
21,Canaan School District,2008-09,66.7
22,Canterbury School District,2008-09,85.2
23,Canton School District,2008-09,85.9
241,Capitol Region Education Council,2008-09,92.2
24,Chaplin School District,2008-09,95.5
287,Charter School for Young Children on Asylum Hill,2008-09,41.9
25,Cheshire School District,2008-09,95.3
26,Chester School District,2008-09,96.9
27,Clinton School District,2008-09,96.1
28,Colchester School District,2008-09,93.1
29,Colebrook School District,2008-09,81.3
30,Columbia School District,2008-09,84
243,Cooperative Educational Services,2008-09,95.1
31,Cornwall School District,2008-09,66.7
32,Coventry School District,2008-09,76.3
33,Cromwell School District,2008-09,87.6
34,Danbury School District,2008-09,69.4
35,Darien School District,2008-09,94.2
36,Deep River School District,2008-09,100
37,Derby School District,2008-09,66.2
40,East Granby School District,2008-09,84.1
41,East Haddam School District,2008-09,79.2
42,East Hampton School District,2008-09,91.2
43,East Hartford School District,2008-09,68.1
44,East Haven School District,2008-09,77.5
45,East Lyme School District,2008-09,90.1
47,East Windsor School District,2008-09,82.4
39,Eastford School District,2008-09,85.7
46,Easton School District,2008-09,100
48,Ellington School District,2008-09,73
289,Elm City College Preparatory School,2008-09,67.3
49,Enfield School District,2008-09,73.7
50,Essex School District,2008-09,94.3
51,Fairfield School District,2008-09,97.2
52,Farmington School District,2008-09,84
53,Franklin School District,2008-09,89.5
54,Glastonbury School District,2008-09,94.1
56,Granby School District,2008-09,90.2
57,Greenwich School District,2008-09,94.9
58,Griswold School District,2008-09,92.5
59,Groton School District,2008-09,70.4
60,Guilford School District,2008-09,88.3
62,Hamden School District,2008-09,89.3
63,Hampton School District,2008-09,100
64,Hartford School District,2008-09,35
65,Hartland School District,2008-09,62.5
67,Hebron School District,2008-09,97.3
286,Highville Charter School District,2008-09,83.3
264,Integrated Day Charter School District,2008-09,97.1
261,Jumoke Academy District,2008-09,100
68,Kent School District,2008-09,87.2
69,Killingly School District,2008-09,64.5
245,Learn,2008-09,94.9
71,Lebanon School District,2008-09,89.8
72,Ledyard School District,2008-09,77
73,Lisbon School District,2008-09,98
74,Litchfield School District,2008-09,87.8
76,Madison School District,2008-09,97
77,Manchester School District,2008-09,65.8
78,Mansfield School District,2008-09,90.5
79,Marlborough School District,2008-09,89.8
80,Meriden School District,2008-09,75.2
83,Middletown School District,2008-09,83.9
84,Milford School District,2008-09,82.5
85,Monroe School District,2008-09,82.5
86,Montville School District,2008-09,75.6
88,Naugatuck School District,2008-09,75.4
280,"New Beginnings Inc., Family Academy District",2008-09,80
89,New Britain School District,2008-09,77
90,New Canaan School District,2008-09,98.1
91,New Fairfield School District,2008-09,91.5
92,New Hartford School District,2008-09,96.4
93,New Haven School District,2008-09,71.5
95,New London School District,2008-09,65.3
96,New Milford School District,2008-09,74.3
94,Newington School District,2008-09,83.7
97,Newtown School District,2008-09,93.1
98,Norfolk School District,2008-09,100
99,North Branford School District,2008-09,95.8
100,North Canaan School District,2008-09,80
101,North Haven School District,2008-09,90.2
102,North Stonington School District,2008-09,92.1
103,Norwalk School District,2008-09,85
104,Norwich School District,2008-09,72.5
106,Old Saybrook School District,2008-09,93.9
107,Orange School District,2008-09,100
108,Oxford School District,2008-09,89.7
109,Plainfield School District,2008-09,79.4
110,Plainville School District,2008-09,92
111,Plymouth School District,2008-09,93.2
112,Pomfret School District,2008-09,88.1
113,Portland School District,2008-09,95.1
114,Preston School District,2008-09,51
116,Putnam School District,2008-09,79.4
117,Redding School District,2008-09,99.1
206,Regional School District 06,2008-09,87
210,Regional School District 10,2008-09,92.4
212,Regional School District 12,2008-09,96.6
213,Regional School District 13,2008-09,87.9
214,Regional School District 14,2008-09,94.9
215,Regional School District 15,2008-09,90.7
216,Regional School District 16,2008-09,85.8
217,Regional School District 17,2008-09,91.8
218,Regional School District 18,2008-09,90.5
118,Ridgefield School District,2008-09,88.6
119,Rocky Hill School District,2008-09,81.6
121,Salem School District,2008-09,88.6
122,Salisbury School District,2008-09,100
123,Scotland School District,2008-09,84.2
124,Seymour School District,2008-09,80.5
125,Sharon School District,2008-09,90.5
126,Shelton School District,2008-09,85.7
127,Sherman School District,2008-09,93.5
270,Side By Side Community School District,2008-09,90.9
128,Simsbury School District,2008-09,93.5
129,Somers School District,2008-09,90.6
132,South Windsor School District,2008-09,74.9
131,Southington School District,2008-09,87.6
133,Sprague School District,2008-09,77.5
134,Stafford School District,2008-09,96.7
135,Stamford School District,2008-09,82.8
136,Sterling School District,2008-09,65.2
137,Stonington School District,2008-09,79.6
138,Stratford School District,2008-09,63.9
139,Suffield School District,2008-09,96.2
140,Thomaston School District,2008-09,62.9
141,Thompson School District,2008-09,44
142,Tolland School District,2008-09,49.3
143,Torrington School District,2008-09,77.6
144,Trumbull School District,2008-09,92.5
145,Union School District,2008-09,76.9
146,Vernon School District,2008-09,83.4
147,Voluntown School District,2008-09,92.9
148,Wallingford School District,2008-09,86.4
151,Waterbury School District,2008-09,65.4
152,Waterford School District,2008-09,86
153,Watertown School District,2008-09,88.9
155,West Hartford School District,2008-09,90.3
156,West Haven School District,2008-09,65.4
154,Westbrook School District,2008-09,81.8
157,Weston School District,2008-09,92.8
158,Westport School District,2008-09,98.8
159,Wethersfield School District,2008-09,87.3
160,Willington School District,2008-09,75
161,Wilton School District,2008-09,98.2
162,Winchester School District,2008-09,81.9
163,Windham School District,2008-09,84.7
165,Windsor Locks School District,2008-09,64.2
164,Windsor School District,2008-09,87
166,Wolcott School District,2008-09,85.6
167,Woodbridge School District,2008-09,91
169,Woodstock School District,2008-09,90.9
279,Amistad Academy District,2007-08,87.2
1,Andover School District,2007-08,88.4
2,Ansonia School District,2007-08,62.3
244,Area Cooperative Educational Services,2007-08,71.9
3,Ashford School District,2007-08,62.9
4,Avon School District,2007-08,80.6
5,Barkhamsted School District,2007-08,88.2
7,Berlin School District,2007-08,89.5
8,Bethany School District,2007-08,89.9
9,Bethel School District,2007-08,72.8
11,Bloomfield School District,2007-08,85.4
12,Bolton School District,2007-08,83.8
13,Bozrah School District,2007-08,82.1
14,Branford School District,2007-08,87.4
15,Bridgeport School District,2007-08,72.8
17,Bristol School District,2007-08,86.5
18,Brookfield School District,2007-08,97.7
19,Brooklyn School District,2007-08,100
21,Canaan School District,2007-08,90
22,Canterbury School District,2007-08,75.6
23,Canton School District,2007-08,93.7
241,Capitol Region Education Council,2007-08,95.3
24,Chaplin School District,2007-08,87
25,Cheshire School District,2007-08,97
26,Chester School District,2007-08,93.3
27,Clinton School District,2007-08,84.8
28,Colchester School District,2007-08,83.1
29,Colebrook School District,2007-08,85.7
30,Columbia School District,2007-08,85.5
243,Cooperative Educational Services,2007-08,94.3
31,Cornwall School District,2007-08,93.3
32,Coventry School District,2007-08,65.6
33,Cromwell School District,2007-08,77.4
34,Danbury School District,2007-08,65.2
35,Darien School District,2007-08,99.2
36,Deep River School District,2007-08,57.8
37,Derby School District,2007-08,69.2
40,East Granby School District,2007-08,96.6
41,East Haddam School District,2007-08,72.1
42,East Hampton School District,2007-08,91
43,East Hartford School District,2007-08,63.1
44,East Haven School District,2007-08,68
45,East Lyme School District,2007-08,88.7
47,East Windsor School District,2007-08,90.8
39,Eastford School District,2007-08,54.5
46,Easton School District,2007-08,99.2
48,Ellington School District,2007-08,68.9
289,Elm City College Preparatory School,2007-08,87.3
49,Enfield School District,2007-08,68.2
50,Essex School District,2007-08,96.1
51,Fairfield School District,2007-08,95.2
52,Farmington School District,2007-08,94.4
53,Franklin School District,2007-08,83.3
54,Glastonbury School District,2007-08,96.3
56,Granby School District,2007-08,96.6
57,Greenwich School District,2007-08,94.2
58,Griswold School District,2007-08,82.8
59,Groton School District,2007-08,59.9
60,Guilford School District,2007-08,73.1
62,Hamden School District,2007-08,80.6
63,Hampton School District,2007-08,73.7
64,Hartford School District,2007-08,34.2
65,Hartland School District,2007-08,86.4
67,Hebron School District,2007-08,94.5
286,Highville Charter School District,2007-08,89.7
264,Integrated Day Charter School District,2007-08,64.7
261,Jumoke Academy District,2007-08,62.2
68,Kent School District,2007-08,76.9
69,Killingly School District,2007-08,69.2
245,Learn,2007-08,94.3
71,Lebanon School District,2007-08,100
72,Ledyard School District,2007-08,82.6
73,Lisbon School District,2007-08,85.4
74,Litchfield School District,2007-08,90.4
76,Madison School District,2007-08,94.7
77,Manchester School District,2007-08,65.1
78,Mansfield School District,2007-08,81.1
79,Marlborough School District,2007-08,88.5
80,Meriden School District,2007-08,83.9
83,Middletown School District,2007-08,83
84,Milford School District,2007-08,86.1
85,Monroe School District,2007-08,79.1
86,Montville School District,2007-08,60.9
88,Naugatuck School District,2007-08,76.2
280,"New Beginnings Inc., Family Academy District",2007-08,100
89,New Britain School District,2007-08,74.8
90,New Canaan School District,2007-08,100
91,New Fairfield School District,2007-08,92.9
92,New Hartford School District,2007-08,97.5
93,New Haven School District,2007-08,68.4
95,New London School District,2007-08,58.1
96,New Milford School District,2007-08,79.7
94,Newington School District,2007-08,79.5
97,Newtown School District,2007-08,93.1
98,Norfolk School District,2007-08,100
99,North Branford School District,2007-08,94.7
100,North Canaan School District,2007-08,72.4
101,North Haven School District,2007-08,80.3
102,North Stonington School District,2007-08,81.1
103,Norwalk School District,2007-08,81.6
104,Norwich School District,2007-08,77.5
106,Old Saybrook School District,2007-08,89.3
107,Orange School District,2007-08,96.4
108,Oxford School District,2007-08,100
109,Plainfield School District,2007-08,78.1
110,Plainville School District,2007-08,86.3
111,Plymouth School District,2007-08,88.4
112,Pomfret School District,2007-08,76.9
113,Portland School District,2007-08,94.6
114,Preston School District,2007-08,78.8
116,Putnam School District,2007-08,50
117,Redding School District,2007-08,99.1
206,Regional School District 06,2007-08,76.6
210,Regional School District 10,2007-08,91.8
212,Regional School District 12,2007-08,92.9
213,Regional School District 13,2007-08,86.3
214,Regional School District 14,2007-08,82.9
215,Regional School District 15,2007-08,93.6
216,Regional School District 16,2007-08,79.1
217,Regional School District 17,2007-08,95.3
218,Regional School District 18,2007-08,93.3
118,Ridgefield School District,2007-08,93.1
119,Rocky Hill School District,2007-08,89.2
121,Salem School District,2007-08,92.1
122,Salisbury School District,2007-08,59.5
123,Scotland School District,2007-08,93.8
124,Seymour School District,2007-08,85.8
125,Sharon School District,2007-08,73.7
126,Shelton School District,2007-08,88.7
127,Sherman School District,2007-08,87.9
270,Side By Side Community School District,2007-08,100
128,Simsbury School District,2007-08,93.1
129,Somers School District,2007-08,96
132,South Windsor School District,2007-08,75.8
131,Southington School District,2007-08,81.3
133,Sprague School District,2007-08,88.6
134,Stafford School District,2007-08,96.7
135,Stamford School District,2007-08,87.3
136,Sterling School District,2007-08,83.3
137,Stonington School District,2007-08,82.2
138,Stratford School District,2007-08,69.3
139,Suffield School District,2007-08,90.8
140,Thomaston School District,2007-08,79.5
141,Thompson School District,2007-08,71.4
142,Tolland School District,2007-08,71.1
143,Torrington School District,2007-08,76.4
144,Trumbull School District,2007-08,93.8
145,Union School District,2007-08,90.9
146,Vernon School District,2007-08,73.5
147,Voluntown School District,2007-08,92
148,Wallingford School District,2007-08,83
151,Waterbury School District,2007-08,64.8
152,Waterford School District,2007-08,81.4
153,Watertown School District,2007-08,82
155,West Hartford School District,2007-08,88.9
156,West Haven School District,2007-08,74.3
154,Westbrook School District,2007-08,80.7
157,Weston School District,2007-08,97.9
158,Westport School District,2007-08,90.8
159,Wethersfield School District,2007-08,92.9
160,Willington School District,2007-08,86
161,Wilton School District,2007-08,99.4
162,Winchester School District,2007-08,79.4
163,Windham School District,2007-08,83.9
165,Windsor Locks School District,2007-08,69
164,Windsor School District,2007-08,81.6
166,Wolcott School District,2007-08,83.9
167,Woodbridge School District,2007-08,94.4
169,Woodstock School District,2007-08,88.5
279,Amistad Academy District,2006-07,88.2
1,Andover School District,2006-07,69.4
2,Ansonia School District,2006-07,62
244,Area Cooperative Educational Services,2006-07,71
3,Ashford School District,2006-07,94.3
4,Avon School District,2006-07,81.6
5,Barkhamsted School District,2006-07,94.2
7,Berlin School District,2006-07,88.2
8,Bethany School District,2006-07,94.3
9,Bethel School District,2006-07,87.2
11,Bloomfield School District,2006-07,83.5
12,Bolton School District,2006-07,83.3
13,Bozrah School District,2006-07,80.8
14,Branford School District,2006-07,85.7
15,Bridgeport School District,2006-07,65.5
17,Bristol School District,2006-07,86.2
18,Brookfield School District,2006-07,96.2
19,Brooklyn School District,2006-07,87.5
21,Canaan School District,2006-07,77.8
22,Canterbury School District,2006-07,70.9
23,Canton School District,2006-07,91.5
241,Capitol Region Education Council,2006-07,92.1
24,Chaplin School District,2006-07,76.2
25,Cheshire School District,2006-07,99.1
26,Chester School District,2006-07,95.3
27,Clinton School District,2006-07,72.1
28,Colchester School District,2006-07,82.3
29,Colebrook School District,2006-07,78.6
30,Columbia School District,2006-07,88.5
243,Cooperative Educational Services,2006-07,97.4
31,Cornwall School District,2006-07,85.7
32,Coventry School District,2006-07,62.8
33,Cromwell School District,2006-07,86.3
34,Danbury School District,2006-07,65
35,Darien School District,2006-07,97.6
36,Deep River School District,2006-07,46.4
37,Derby School District,2006-07,72.7
40,East Granby School District,2006-07,89.3
41,East Haddam School District,2006-07,86
42,East Hampton School District,2006-07,89.9
43,East Hartford School District,2006-07,48
44,East Haven School District,2006-07,70.3
45,East Lyme School District,2006-07,93.5
47,East Windsor School District,2006-07,76
39,Eastford School District,2006-07,55
46,Easton School District,2006-07,82.4
48,Ellington School District,2006-07,66.1
289,Elm City College Preparatory School,2006-07,98.2
49,Enfield School District,2006-07,73
50,Essex School District,2006-07,84.1
51,Fairfield School District,2006-07,94.6
52,Farmington School District,2006-07,91.7
53,Franklin School District,2006-07,94.7
54,Glastonbury School District,2006-07,95.4
56,Granby School District,2006-07,96.5
57,Greenwich School District,2006-07,94.9
58,Griswold School District,2006-07,88.5
59,Groton School District,2006-07,72.8
60,Guilford School District,2006-07,82.9
62,Hamden School District,2006-07,85.9
63,Hampton School District,2006-07,100
64,Hartford School District,2006-07,67.5
65,Hartland School District,2006-07,81.8
67,Hebron School District,2006-07,97.1
277,Highville Mustard Seed Charter School District,2006-07,93
264,Integrated Day Charter School District,2006-07,100
261,Jumoke Academy District,2006-07,44.4
68,Kent School District,2006-07,90.6
69,Killingly School District,2006-07,72.9
245,Learn,2006-07,83.7
71,Lebanon School District,2006-07,87.8
72,Ledyard School District,2006-07,78.5
73,Lisbon School District,2006-07,91.9
74,Litchfield School District,2006-07,77.2
76,Madison School District,2006-07,94.7
77,Manchester School District,2006-07,66.7
