district name,Total,English Language Learner,% English Language Learner
Seymour School District,2286,62,2.70%
Sharon School District,188,0,0.00%
Shelton School District,5109,198,3.90%
Sherman School District,383,,
Simsbury School District,4516,50,1.10%
Somers School District,1575,6,0.40%
Southington School District,6687,123,1.80%
South Windsor School District,4275,97,2.30%
Sprague School District,370,,
Stafford School District,1716,11,0.60%
Stamford School District,15715,2005,12.80%
Sterling School District,498,0,0.00%
Stonington School District,2345,13,0.60%
Stratford School District,7171,287,4.00%
Suffield School District,2442,12,0.50%
Thomaston School District,1004,,
Thompson School District,1153,0,0.00%
Tolland School District,2832,21,0.70%
Torrington School District,4354,314,7.20%
Trumbull School District,6911,112,1.60%
Union School District,71,0,0.00%
Vernon School District,3442,66,1.90%
Voluntown School District,315,0,0.00%
Wallingford School District,6242,270,4.30%
Waterbury School District,18389,2060,11.20%
Waterford School District,2625,35,1.30%
Watertown School District,3024,76,2.50%
Westbrook School District,872,24,2.80%
West Hartford School District,9996,516,5.20%
West Haven School District,6015,666,11.10%
Weston School District,2419,7,0.30%
Westport School District,5795,58,1.00%
Wethersfield School District,3668,161,4.40%
Willington School District,479,,
Wilton School District,4289,26,0.60%
Winchester School District,670,17,2.50%
Windham School District,3189,771,24.20%
Windsor School District,3380,131,3.90%
Windsor Locks School District,1746,54,3.10%
Wolcott School District,2573,37,1.40%
Woodbridge School District,744,15,2.00%
Woodstock School District,893,,
Regional School District 01,421,,
Regional School District 04,990,8,0.80%
Regional School District 05,2348,11,0.50%
Regional School District 06,1027,10,1.00%
Regional School District 07,1130,0,0.00%
Regional School District 08,1767,,
Regional School District 09,1012,,
Regional School District 10,2621,24,0.90%
Regional School District 11,280,0,0.00%
Regional School District 12,841,,
Regional School District 13,1949,8,0.40%
Regional School District 14,1922,16,0.80%
Regional School District 15,4065,21,0.50%
Regional School District 16,2413,32,1.30%
Regional School District 17,2302,8,0.30%
Regional School District 18,1446,14,1.00%
Regional School District 19,1223,20,1.60%
Jumoke Academy District,589,0,0.00%
Odyssey Community School District,324,0,0.00%
Integrated Day Charter School,330,33,10.00%
Interdistrict School for Arts and Communication,191,26,13.60%
Common Ground High School Distict,169,,
The Bridge Academy District,276,,
Side By Side Charter School District,233,13,5.60%
Explorations District,73,0,0.00%
Trailblazers Academy District,168,0,0.00%
Amistad Academy District,904,75,8.30%
New Beginnings Inc. Family Academy,399,,
Stamford Academy District,140,0,0.00%
Park City Prep Charter School,251,,
Bridgeport Achievement First District,702,67,9.50%
Highville Charter School District,341,0,0.00%
Achievement First Hartford Academy,824,42,5.10%
Elm City College Preparatory School,604,30,5.00%
Capitol Region Education Council,6260,182,2.90%
Education Connection,249,0,0.00%
Cooperative Educational Service Center,838,0,0.00%
Area Cooperative Educational Services,1932,40,2.10%
Learn,1728,110,6.40%
Eastern Connecticut Regional Educational Service Center,332,6,1.80%
Unified School District #1,641,0,0.00%
Department of Mental Health and Addiction Services,2,,
Unified School District #2,167,,
Connecticut Technical High School,10651,281,2.60%
Norwich Free Academy District,2264,128,5.70%
The Gilbert School District,505,17,3.40%
Woodstock Academy District,1055,,
