11,63,Hampton School District,117,26,22.2%
11,64,Hartford School District,21487,18327,85.3%
11,65,Hartland School District,214,15,7.0%
11,67,Hebron School District,935,58,6.2%
11,68,Kent School District,271,36,13.3%
11,69,Killingly School District,2672,1139,42.6%
11,71,Lebanon School District,1228,188,15.3%
11,72,Ledyard School District,2591,498,19.2%
11,73,Lisbon School District,443,100,22.6%
11,74,Litchfield School District,1029,102,9.9%
11,76,Madison School District,3378,160,4.7%
11,77,Manchester School District,6236,3379,54.2%
11,78,Mansfield School District,1317,312,23.7%
11,79,Marlborough School District,639,49,7.7%
11,80,Meriden School District,8153,5688,69.8%
11,83,Middletown School District,4874,2154,44.2%
11,84,Milford School District,6637,1420,21.4%
11,85,Monroe School District,3473,228,6.6%
11,86,Montville School District,2442,839,34.4%
11,88,Naugatuck School District,4480,2062,46.0%
11,89,New Britain School District,10217,8277,81.0%
11,90,New Canaan School District,4203,0,0.0%
11,91,New Fairfield School District,2798,281,10.0%
11,92,New Hartford School District,565,51,9.0%
11,93,New Haven School District,21183,16549,78.1%
11,94,Newington School District,4307,762,17.7%
11,95,New London School District,3067,2416,78.8%
11,96,New Milford School District,4600,901,19.6%
11,97,Newtown School District,5126,345,6.7%
11,98,Norfolk School District,121,17,14.0%
11,99,North Branford School District,2080,294,14.1%
11,100,North Canaan School District,315,73,23.2%
11,101,North Haven School District,3497,461,13.2%
11,102,North Stonington School Distri,764,135,17.7%
11,103,Norwalk School District,11072,5232,47.3%
11,104,Norwich School District,3791,2645,69.8%
11,106,Old Saybrook School District,1492,258,17.3%
11,107,Orange School District,1243,54,4.3%
11,108,Oxford School District,2095,153,7.3%
11,109,Plainfield School District,2490,1110,44.6%
11,110,Plainville School District,2355,623,26.5%
11,111,Plymouth School District,1606,427,26.6%
11,112,Pomfret School District,472,68,14.4%
11,113,Portland School District,1373,233,17.0%
11,114,Preston School District,402,74,18.4%
11,116,Putnam School District,1263,717,56.8%
11,117,Redding School District,1130,47,4.2%
11,118,Ridgefield School District,5269,154,2.9%
11,119,Rocky Hill School District,2460,195,7.9%
11,121,Salem School District,422,48,11.4%
11,122,Salisbury School District,309,39,12.6%
11,123,Scotland School District,127,25,19.7%
11,124,Seymour School District,2286,597,26.1%
11,125,Sharon School District,188,40,21.3%
11,126,Shelton School District,5109,1063,20.8%
11,127,Sherman School District,383,27,7.0%
11,128,Simsbury School District,4516,375,8.3%
11,129,Somers School District,1575,100,6.3%
11,131,Southington School District,6687,956,14.3%
11,132,South Windsor School District,4275,472,11.0%
11,133,Sprague School District,370,153,41.4%
11,134,Stafford School District,1716,498,29.0%
11,135,Stamford School District,15715,7867,50.1%
11,136,Sterling School District,498,177,35.5%
11,137,Stonington School District,2345,451,19.2%
11,138,Stratford School District,7171,3072,42.8%
11,139,Suffield School District,2442,267,10.9%
11,140,Thomaston School District,1004,142,14.1%
11,141,Thompson School District,1153,340,29.5%
11,142,Tolland School District,2832,157,5.5%
11,143,Torrington School District,4354,2043,46.9%
11,144,Trumbull School District,6911,614,8.9%
11,145,Union School District,71,*,4.2%
11,146,Vernon School District,3442,1259,36.6%
11,147,Voluntown School District,315,77,24.4%
11,148,Wallingford School District,6242,1097,17.6%
11,151,Waterbury School District,18389,14887,81.0%
11,152,Waterford School District,2625,417,15.9%
11,153,Watertown School District,3024,623,20.6%
11,154,Westbrook School District,872,111,12.7%
11,155,West Hartford School District,9996,2015,20.2%
11,156,West Haven School District,6015,3075,51.1%
11,157,Weston School District,2419,37,1.5%
11,158,Westport School District,5795,212,3.7%
11,159,Wethersfield School District,3668,716,19.5%
11,160,Willington School District,479,71,14.8%
11,161,Wilton School District,4289,77,1.8%
11,162,Winchester School District,670,406,60.6%
11,163,Windham School District,3189,2428,76.1%
11,164,Windsor School District,3380,1160,34.3%
11,165,Windsor Locks School District,1746,627,35.9%
11,166,Wolcott School District,2573,557,21.6%
11,167,Woodbridge School District,744,41,5.5%
11,169,Woodstock School District,893,107,12.0%
12,201,Regional School District 01,421,81,19.2%
12,204,Regional School District 04,990,116,11.7%
12,205,Regional School District 05,2348,104,4.4%
12,206,Regional School District 06,1027,106,10.3%
12,207,Regional School District 07,1130,105,9.3%
12,208,Regional School District 08,1767,87,4.9%
12,209,Regional School District 09,1012,36,3.6%
12,210,Regional School District 10,2621,174,6.6%
12,211,Regional School District 11,280,74,26.4%
12,212,Regional School District 12,841,69,8.2%
12,213,Regional School District 13,1949,114,5.8%
12,214,Regional School District 14,1922,111,5.8%
12,215,Regional School District 15,4065,215,5.3%
12,216,Regional School District 16,2413,339,14.0%
12,217,Regional School District 17,2302,182,7.9%
12,218,Regional School District 18,1446,96,6.6%
12,219,Regional School District 19,1223,190,15.5%
13,261,Jumoke Academy District,589,342,58.1%
13,263,Odyssey Community School Distr,324,139,42.9%
13,264,Integrated Day Charter School,330,100,30.3%
13,265,Interdistrict School for Arts,191,127,66.5%
13,268,Common Ground High School Dist,169,98,58.0%
13,269,The Bridge Academy District,276,223,80.8%
13,270,Side By Side Charter School Di,233,84,36.1%
13,272,Explorations District,73,22,30.1%
13,278,Trailblazers Academy District,168,147,87.5%
13,279,Amistad Academy District,904,733,81.1%
13,280,New Beginnings Inc. Family Aca,399,331,83.0%
13,282,Stamford Academy District,140,135,96.4%
13,283,Park City Prep Charter School,251,174,69.3%
13,285,Bridgeport Achievement First D,702,577,82.2%
13,286,Highville Charter School Distr,341,242,71.0%
13,288,Achievement First Hartford Aca,824,824,100.0%
13,289,Elm City College Preparatory S,604,447,74.0%
14,241,Capitol Region Education Counc,6260,2798,44.7%
14,242,Education Connection,249,243,97.6%
14,243,Cooperative Educational Servic,838,274,32.7%
14,244,Area Cooperative Educational S,1932,910,47.1%
14,245,Learn,1728,772,44.7%
14,253,Eastern Connecticut Regional E,332,93,28.0%
15,336,Unified School District #1,641,641,100.0%
15,337,Department of Mental Health an,*,*,100.0%
15,347,Unified School District #2,167,137,82.0%
16,900,Connecticut Technical High Sch,10651,4291,40.3%
22,901,Norwich Free Academy District,2264,563,24.9%
22,902,The Gilbert School District,505,218,43.2%
22,903,Woodstock Academy District,1055,41,3.9%
,,State Total,550389,201757,36.7%
