11,158,Westport School District,5737,167,2.9%
11,159,Wethersfield School District,3670,644,17.5%
11,160,Willington School District,491,78,15.9%
11,161,Wilton School District,4311,71,1.6%
11,162,Winchester School District,687,240,34.9%
11,163,Windham School District,3242,2563,79.1%
11,164,Windsor School District,3490,1081,31.0%
11,165,Windsor Locks School District,1746,577,33.0%
11,166,Wolcott School District,2649,546,20.6%
11,167,Woodbridge School District,737,26,3.5%
11,169,Woodstock School District,888,100,11.3%
12,201,Regional School District 01,463,94,20.3%
12,204,Regional School District 04,957,90,9.4%
12,205,Regional School District 05,2425,113,4.7%
12,206,Regional School District 06,1037,145,14.0%
12,207,Regional School District 07,1150,97,8.4%
12,208,Regional School District 08,1784,128,7.2%
12,209,Regional School District 09,1007,25,2.5%
12,210,Regional School District 10,2663,133,5.0%
12,211,Regional School District 11,292,76,26.0%
12,212,Regional School District 12,886,57,6.4%
12,213,Regional School District 13,1982,125,6.3%
12,214,Regional School District 14,1996,126,6.3%
12,215,Regional School District 15,4218,153,3.6%
12,216,Regional School District 16,2477,341,13.8%
12,217,Regional School District 17,2380,154,6.5%
12,218,Regional School District 18,1448,97,6.7%
12,219,Regional School District 19,1226,159,13.0%
13,241,Capitol Region Education Counc,5559,2511,45.2%
13,242,Education Connection,208,197,94.7%
13,243,Cooperative Educational Servic,813,279,34.3%
13,244,Area Cooperative Educational S,1956,926,47.3%
13,245,Learn,1514,737,48.7%
13,253,Eastern Connecticut Regional E,297,62,20.9%
13,261,Jumoke Academy District,488,281,57.6%
13,263,Odyssey Community School Distr,314,119,37.9%
13,264,Integrated Day Charter School,330,93,28.2%
13,265,Interdistrict School for Arts,191,135,70.7%
13,268,Common Ground High School Dist,165,82,49.7%
13,269,The Bridge Academy District,276,210,76.1%
13,270,Side By Side Charter School Di,232,112,48.3%
13,272,Explorations District,74,27,36.5%
13,278,Trailblazers Academy District,170,139,81.8%
13,279,Amistad Academy District,857,690,80.5%
13,280,New Beginnings Inc. Family Aca,361,306,84.8%
14,282,Stamford Academy,141,121,85.8%
14,283,Park City Prep Charter School,257,176,68.5%
14,285,Bridgeport Achievement First,543,452,83.2%
14,286,Highville Charter School Distr,337,174,51.6%
14,288,Achievement First Hartford Aca,761,761,100.0%
14,289,Elm City College Preparatory S,600,455,75.8%
15,336,Unified School District #1,745,745,100.0%
15,337,Department of Mental Health an,*,0,0.0%
15,347,Unified School District #2,180,180,100.0%
16,900,Connecticut Technical High Sch,10656,4333,40.7%
22,901,Norwich Free Academy,2315,406,17.5%
22,902,The Gilbert School,542,229,42.3%
22,903,Woodstock Academy,1098,42,3.8%
,,,553856,195070,35.2%
