11,124,Seymour School District,2296,618,26.9%
11,125,Sharon School District,177,38,21.5%
11,126,Shelton School District,4958,1062,21.4%
11,127,Sherman School District,372,17,4.6%
11,128,Simsbury School District,4333,366,8.4%
11,129,Somers School District,1506,122,8.1%
11,131,Southington School District,6666,1042,15.6%
11,132,South Windsor School District,4240,512,12.1%
11,133,Sprague School District,360,157,43.6%
11,134,Stafford School District,1627,444,27.3%
11,135,Stamford School District,15811,7319,46.3%
11,136,Sterling School District,479,170,35.5%
11,137,Stonington School District,2302,484,21.0%
11,138,Stratford School District,7143,3198,44.8%
11,139,Suffield School District,2407,268,11.1%
11,140,Thomaston School District,938,244,26.0%
11,141,Thompson School District,1068,312,29.2%
11,142,Tolland School District,2706,182,6.7%
11,143,Torrington School District,4260,2083,48.9%
11,144,Trumbull School District,6798,509,7.5%
11,145,Union School District,78,*,2.6%
11,146,Vernon School District,3321,1429,43.0%
11,147,Voluntown School District,303,64,21.1%
11,148,Wallingford School District,6067,1154,19.0%
11,151,Waterbury School District,18611,15344,82.4%
11,152,Waterford School District,2545,437,17.2%
11,153,Watertown School District,2917,672,23.0%
11,154,Westbrook School District,832,110,13.2%
11,155,West Hartford School District,9844,2014,20.5%
11,156,West Haven School District,5950,3445,57.9%
11,157,Weston School District,2408,50,2.1%
11,158,Westport School District,5758,198,3.4%
11,159,Wethersfield School District,3697,720,19.5%
11,160,Willington School District,457,74,16.2%
11,161,Wilton School District,4276,70,1.6%
11,162,Winchester School District,626,348,55.6%
11,163,Windham School District,3246,2483,76.5%
11,164,Windsor School District,3242,1129,34.8%
11,165,Windsor Locks School District,1666,596,35.8%
11,166,Wolcott School District,2483,501,20.2%
11,167,Woodbridge School District,768,42,5.5%
11,169,Woodstock School District,898,125,13.9%
12,201,Regional School District 01,428,76,17.8%
12,204,Regional School District 04,978,110,11.2%
12,205,Regional School District 05,2330,107,4.6%
12,206,Regional School District 06,995,139,14.0%
12,207,Regional School District 07,1123,119,10.6%
12,208,Regional School District 08,1736,157,9.0%
12,209,Regional School District 09,1065,43,4.0%
12,210,Regional School District 10,2563,178,6.9%
12,211,Regional School District 11,287,91,31.7%
12,212,Regional School District 12,796,64,8.0%
12,213,Regional School District 13,1860,129,6.9%
12,214,Regional School District 14,1880,235,12.5%
12,215,Regional School District 15,3967,218,5.5%
12,216,Regional School District 16,2338,305,13.0%
12,217,Regional School District 17,2264,221,9.8%
12,218,Regional School District 18,1406,103,7.3%
12,219,Regional School District 19,1194,179,15.0%
13,261,Jumoke Academy District,704,449,63.8%
13,263,Odyssey Community School Distr,325,109,33.5%
13,264,Integrated Day Charter School,330,117,35.5%
13,265,Interdistrict School for Arts,246,153,62.2%
13,268,Common Ground High School Dist,180,103,57.2%
13,269,The Bridge Academy District,277,215,77.6%
13,270,Side By Side Charter School Di,235,116,49.4%
13,272,Explorations District,83,27,32.5%
13,278,Trailblazers Academy District,162,143,88.3%
13,279,Amistad Academy District,937,792,84.5%
13,280,New Beginnings Inc. Family Aca,402,334,83.1%
13,282,Stamford Academy District,149,144,96.6%
13,283,Park City Prep Charter School,260,144,55.4%
13,285,Bridgeport Achievement First D,835,659,78.9%
13,286,Highville Charter School Distr,361,260,72.0%
13,288,Achievement First Hartford Aca,871,869,99.8%
13,289,Elm City College Preparatory S,624,485,77.7%
13,290,Brass City Charter School Dist,115,73,63.5%
14,241,Capitol Region Education Counc,7179,3219,44.8%
14,242,Education Connection,228,218,95.6%
14,243,Cooperative Educational Servic,822,238,29.0%
14,244,Area Cooperative Educational S,1933,1093,56.5%
14,245,Learn,2137,840,39.3%
14,253,Eastern Connecticut Regional E,367,156,42.5%
15,336,Unified School District #1,538,538,100.0%
15,337,Department of Mental Health an,*,*,100.0%
15,347,Unified School District #2,197,132,67.0%
16,900,Connecticut Technical High Sch,10699,4877,45.6%
22,901,Norwich Free Academy District,2325,557,24.0%
22,902,The Gilbert School District,537,240,44.7%
22,903,Woodstock Academy District,1033,33,3.2%
,,State Total ,545610,202623,37.1%
